[2025-03-26 15:47:28] No se actualizó el saldo. ID no encontrado o saldo sin cambios. ID: En Reparto, Monto: 30000
[2025-03-26 15:50:00] Data: 
[2025-03-26 15:50:02] Data: Array
[2025-03-26 15:50:04] No se actualizó el saldo. ID no encontrado o saldo sin cambios. ID: En Reparto, Monto: 30000
[2025-03-26 15:50:04] Data: 
[2025-03-26 15:51:53] Data: null
[2025-03-26 15:51:54] Data: {"idped":"54","idprov":"En Reparto","ope":"recibir"}
[2025-03-26 15:51:56] No se actualizó el saldo. ID no encontrado o saldo sin cambios. ID: En Reparto, Monto: 30000
[2025-03-26 15:51:56] Data: null
[2025-03-26 15:54:24] Data: null
[2025-03-26 15:54:53] Data: null
[2025-03-26 15:55:00] Data: {"idped":"54","idprov":"82","ope":"recibir"}
[2025-03-26 15:55:02] Saldo actualizado correctamente para idprov: 82, monto: 30000
[2025-03-26 15:55:02] Data: null
[2025-03-26 16:20:34] Data: null
[2025-03-26 16:20:36] Data: null
[2025-03-26 16:20:41] Data: null
[2025-03-26 16:20:42] Data: null
[2025-03-26 16:22:08] Data: null
[2025-03-26 16:23:38] Data: null
[2025-03-26 16:23:42] Data: null
[2025-03-26 16:23:42] Data: null
[2025-03-26 16:25:11] Data: null
[2025-03-26 16:25:56] Data: null
[2025-03-26 16:27:19] Data: null
[2025-03-26 16:27:33] Data: null
[2025-03-26 16:29:00] Data: null
[2025-03-26 16:33:04] Data: null
[2025-03-26 17:21:37] Data: null
[2025-03-26 17:21:38] Data: null
[2025-03-26 17:25:21] Data: null
[2025-03-26 17:28:03] Data: null
[2025-03-26 17:30:05] Data: null
[2025-03-26 17:31:14] Data: null
[2025-03-27 20:12:48] Data: null
[2025-03-27 20:12:50] Data: null
[2025-03-27 20:12:56] Data: null
[2025-03-27 20:13:13] Data: null
[2025-03-27 20:13:19] Data: null
[2025-03-27 20:15:23] Data: null
[2025-03-27 20:15:49] Data: null
[2025-03-27 20:16:49] Data: null
[2025-03-27 20:30:42] Data: null
[2025-03-27 20:31:00] Data: null
[2025-03-27 20:31:55] Data: null
[2025-03-27 20:32:21] Data: null
[2025-03-27 20:32:26] Data: null
[2025-03-27 20:34:33] Data: null
[2025-03-27 20:35:13] Data: null
[2025-03-27 20:37:21] Data: null
[2025-03-27 20:37:43] Data: null
[2025-03-27 20:38:11] Data: null
[2025-03-27 20:39:08] Data: null
[2025-03-27 20:40:15] Data: null
[2025-03-27 20:41:44] Data: null
[2025-03-27 20:42:11] Data: null
[2025-03-27 20:42:21] Data: null
[2025-03-27 20:42:23] Data: null
[2025-03-27 20:42:44] Data: null
[2025-03-27 20:45:25] Data: null
[2025-03-27 20:45:54] Data: null
[2025-03-27 20:46:05] Data: null
[2025-03-27 20:48:41] Data: null
[2025-03-27 20:48:53] Data: null
[2025-03-27 20:50:12] Data: null
[2025-03-27 20:50:29] Data: null
[2025-03-27 20:51:23] Data: null
[2025-03-27 20:52:02] Data: null
[2025-03-27 20:52:29] Data: null
[2025-03-27 20:52:33] Data: null
[2025-03-27 20:52:42] Data: null
[2025-03-27 20:52:45] Data: null
[2025-03-27 20:53:05] Data: null
[2025-03-27 20:59:20] Data: null
[2025-03-27 20:59:22] Data: null
[2025-03-27 21:09:41] Data: null
[2025-03-27 21:09:57] Data: null
[2025-03-27 21:10:29] Data: null
[2025-03-27 21:10:32] Data: {"idprov":"82","ope":"cancelar"}
[2025-03-27 21:10:37] Data: null
[2025-03-27 21:10:39] Data: {"idprov":"82","ope":"cancelar"}
[2025-03-27 21:12:36] Data: null
[2025-03-27 21:12:40] Data: {"idprov":"82","ope":"cancelar"}
[2025-03-27 21:13:11] Data: null
[2025-03-27 21:13:13] Data: {"idped":"53","idprov":"82","ope":"cancelar"}
[2025-03-27 21:13:14] Data: null
[2025-03-27 21:13:55] Data: null
[2025-03-27 21:14:07] Data: null
[2025-03-27 21:15:15] Data: null
[2025-03-27 21:15:23] Data: null
[2025-03-27 21:15:28] Data: null
[2025-03-27 21:19:05] Data: null
