[30-Jan-2025 14:36:43 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 72
[30-Jan-2025 14:36:45 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 72
[30-Jan-2025 14:37:24 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 72
[30-Jan-2025 14:37:28 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 72
[30-Jan-2025 14:44:04 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 72
[30-Jan-2025 14:44:06 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 72
[30-Jan-2025 14:45:45 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 72
[30-Jan-2025 14:45:46 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 72
[30-Jan-2025 14:46:12 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 72
[30-Jan-2025 14:46:14 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 72
[30-Jan-2025 14:47:21 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 74
[30-Jan-2025 14:48:26 Europe/Berlin] PHP Warning:  Array to string conversion in C:\xampp\htdocs\shoop\views\vwpagos.php on line 74
SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'ON pv.idusu = u.idusu WHERE u.idusu = '20' ORDER BY p.fecha DESC' at line 1[30-Jan-2025 22:01:05 Europe/Berlin] PHP Warning:  foreach() argument must be of type array|object, null given in C:\xampp\htdocs\shoop\views\vwTusPedidos.php on line 6
[31-Jan-2025 16:42:28 Europe/Berlin] PHP Warning:  Undefined array key "estado" in C:\xampp\htdocs\shoop\views\vwSeguirenv.php on line 32
[31-Jan-2025 16:42:28 Europe/Berlin] PHP Warning:  Undefined array key "estado" in C:\xampp\htdocs\shoop\views\vwSeguirenv.php on line 32
[31-Jan-2025 16:42:28 Europe/Berlin] PHP Warning:  Undefined array key "estado" in C:\xampp\htdocs\shoop\views\vwSeguirenv.php on line 32
[31-Jan-2025 16:42:28 Europe/Berlin] PHP Warning:  Undefined array key "estado" in C:\xampp\htdocs\shoop\views\vwSeguirenv.php on line 32
[31-Jan-2025 16:42:28 Europe/Berlin] PHP Warning:  Undefined array key "estado" in C:\xampp\htdocs\shoop\views\vwSeguirenv.php on line 32
SQLSTATE[HY000] [2002] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexiónSQLSTATE[HY000] [2002] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión[31-Jan-2025 22:50:34 Europe/Berlin] PHP Warning:  foreach() argument must be of type array|object, null given in C:\xampp\htdocs\shoop\views\vwMenu.php on line 4
[31-Jan-2025 23:03:52 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 2
[31-Jan-2025 23:03:52 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 3
[31-Jan-2025 23:03:52 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 4
[31-Jan-2025 23:03:52 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 5
[31-Jan-2025 23:03:54 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 2
[31-Jan-2025 23:03:54 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 3
[31-Jan-2025 23:03:54 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 4
[31-Jan-2025 23:03:54 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 5
[31-Jan-2025 23:04:27 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 2
[31-Jan-2025 23:04:27 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 3
[31-Jan-2025 23:04:27 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 4
[31-Jan-2025 23:04:27 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 5
[31-Jan-2025 23:05:14 Europe/Berlin] PHP Warning:  Undefined array key "precio" in C:\xampp\htdocs\shoop\views\vwTienda.php on line 62
[31-Jan-2025 23:05:14 Europe/Berlin] PHP Warning:  Undefined array key "precio" in C:\xampp\htdocs\shoop\views\vwTienda.php on line 62
[31-Jan-2025 23:13:22 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 2
[31-Jan-2025 23:13:22 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 3
[31-Jan-2025 23:13:22 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 4
[31-Jan-2025 23:13:22 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 5
[31-Jan-2025 23:13:24 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 2
[31-Jan-2025 23:13:24 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 3
[31-Jan-2025 23:13:24 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 4
[31-Jan-2025 23:13:24 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 5
[31-Jan-2025 23:18:25 Europe/Berlin] PHP Warning:  Undefined array key "precio" in C:\xampp\htdocs\shoop\views\vwPrdPart.php on line 54
[31-Jan-2025 23:18:25 Europe/Berlin] PHP Warning:  Undefined array key "precio" in C:\xampp\htdocs\shoop\views\vwPrdPart.php on line 127
SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ' p.precio, p.pordescu, i.imgpro, p.precio - (p.precio * (p.pordescu / 100)) A...' at line 1SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ' p.precio, p.pordescu, i.imgpro, p.precio - (p.precio * (p.pordescu / 100)) A...' at line 1SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near ' p.precio, p.pordescu, i.imgpro, p.precio - (p.precio * (p.pordescu / 100)) A...' at line 1SQLSTATE[42S22]: Column not found: 1054 Unknown column 'p.vprecio' in 'field list'[31-Jan-2025 23:24:25 Europe/Berlin] PHP Warning:  foreach() argument must be of type array|object, string given in C:\xampp\htdocs\shoop\views\vwOfer.php on line 12
[31-Jan-2025 23:35:33 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 2
[31-Jan-2025 23:35:33 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 3
[31-Jan-2025 23:35:33 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 4
[31-Jan-2025 23:35:33 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 5
[31-Jan-2025 23:35:34 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 2
[31-Jan-2025 23:35:34 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 3
[31-Jan-2025 23:35:34 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 4
